split,seed,corruption_rate,imputer,model,accuracy,f1_macro,fit_time_s,predict_time_s,peak_mem_kb
60/40,43,0.2,median,OVO_GD,0.8618871903004744,0.8461985825860898,1.2734423999972933,0.18353050000223448,1105.935546875
60/40,43,0.2,median,Softmax_GD,0.8410648392198208,0.8185509710834389,0.5684966000007989,0.0006408000008377712,3147.8984375
60/40,43,0.2,median,LDA,0.86768581971534,0.8649097114473552,0.003566700001101708,0.4632726999989245,526.203125
60/40,43,0.2,median,QDA,0.8666315234580917,0.8779595511290931,0.0027738999997382052,0.38311609999800567,537.177734375
60/40,43,0.2,median,GNB,0.8861360042171851,0.8910139779342707,0.0037453999975696206,0.0017874000004667323,1194.7265625
60/40,43,0.2,knn,OVR_GD,0.8539799683711122,0.7805509656432729,1.0007661999989068,0.000988899999356363,1339.484375
60/40,43,0.2,knn,OVO_GD,0.8943068002108593,0.8879737879778363,1.3193630999994639,0.20165059999999357,1105.935546875
60/40,43,0.2,knn,Softmax_GD,0.8816552451238798,0.8728144753714293,0.5471035999980813,0.0006686999986413866,3147.2734375
60/40,43,0.2,knn,LDA,0.8993147074327886,0.913467317959846,0.003234400002838811,0.48602649999884306,526.203125
60/40,43,0.2,knn,QDA,0.8837638376383764,0.8996937154207613,0.0036302999978943262,0.4178511000027356,537.177734375
60/40,43,0.2,knn,GNB,0.8924617817606747,0.9004758440587138,0.0051085000013699755,0.0029178000004321802,1190.0078125
60/40,43,0.3,mean,OVR_GD,0.808908803373748,0.726215617837946,1.016934899998887,0.001251000001502689,1339.484375
60/40,43,0.3,mean,OVO_GD,0.8405376910911966,0.8228891098426868,1.2766460999991978,0.17890800000168383,1105.935546875
60/40,43,0.3,mean,Softmax_GD,0.8168160253031101,0.79121235106244,0.5843142000012449,0.0007590000022901222,3147.2734375
60/40,43,0.3,mean,LDA,0.8481813389562467,0.8403083729345283,0.0031433000003744382,0.4572608000016771,526.203125
60/40,43,0.3,mean,QDA,0.8827095413811281,0.8842524671445194,0.0030537999991793185,0.39099070000156644,537.2236328125
60/40,43,0.3,mean,GNB,0.8755930416447022,0.8762654064811833,0.004900899999483954,0.0030359999982465524,1194.7265625
60/40,43,0.3,median,OVR_GD,0.8070637849235636,0.7221050913458953,0.9571500000020023,0.001693499998509651,1339.484375
