split,seed,model,sigma,f1_macro,f1_drop,fit_time_s,predict_time_s,peak_mem_kb
70/30,44,GNB,0.1,0.7477363621178365,0.16226294086069848,0.005900299991481006,0.0020001999801024795,913.65625
70/30,44,GNB,0.5,0.5869256958254176,0.3230736071531173,0.005897500028368086,0.0020675999694503844,913.6796875
70/30,44,GNB,1.0,0.34256040413127203,0.567438898847263,0.0055346000008285046,0.0019616999779827893,913.7265625
70/30,45,OVR_GD,0.0,0.7779079196871248,0.0,1.5344683000002988,0.0014122000429779291,1469.73046875
70/30,45,OVR_GD,0.1,0.7678616510513668,0.010046268635757971,1.5195829999865964,0.0014038000372238457,1469.73046875
70/30,45,OVR_GD,0.5,0.6794561843577094,0.09845173532941542,1.598353400011547,0.0016911000129766762,1469.73046875
70/30,45,OVR_GD,1.0,0.5453700586802288,0.232537861006896,1.5360673000104725,0.0014063999988138676,1469.75390625
70/30,45,OVO_GD,0.0,0.8898087700622577,0.0,2.4574910000083037,0.2796712000272237,1225.2978515625
70/30,45,OVO_GD,0.1,0.8891839919425756,0.0006247781196820901,2.3662811999674886,0.27704129996709526,1225.2744140625
70/30,45,OVO_GD,0.5,0.7759852529250084,0.11382351713724925,2.367643899982795,0.27749440004117787,1225.2744140625
70/30,45,OVO_GD,1.0,0.6051341598305878,0.28467461023166984,2.516433400043752,0.28316680004354566,1225.2744140625
70/30,45,Softmax_GD,0.0,0.8735760281761007,0.0,0.6756926000234671,0.0007593999616801739,3657.71875
70/30,45,Softmax_GD,0.1,0.8707273374593679,0.0028486907167327713,0.6697418999974616,0.0007372999680228531,3657.6953125
70/30,45,Softmax_GD,0.5,0.7469255033962712,0.12665052477982952,0.6793216000078246,0.0006083999760448933,3658.328125
70/30,45,Softmax_GD,1.0,0.5733189241060855,0.30025710407001516,0.6791348000406288,0.0006021000444889069,3657.6953125
70/30,45,LDA,0.0,0.9199512412818567,0.0,0.004036099999211729,0.5247458000085317,602.6171875
70/30,45,LDA,0.1,0.3754368116367202,0.5445144296451365,0.004224899981636554,0.5261016999720596,602.59375
70/30,45,LDA,0.5,0.14111800019290657,0.7788332410889501,0.007458099978975952,0.5351058000233024,602.5
70/30,45,LDA,1.0,0.11522248428295469,0.804728756998902,0.004219800001010299,0.5313220999669284,602.5
70/30,45,QDA,0.0,0.9196807325524607,0.0,0.0049081999459303916,0.4365935000241734,613.51953125
70/30,45,QDA,0.1,0.16068564118093762,0.7589950913715231,0.00502249994315207,0.4384878000128083,613.2333984375
70/30,45,QDA,0.5,0.10628529832206976,0.813395434230391,0.005592000030446798,0.4363399999565445,613.1708984375
70/30,45,QDA,1.0,0.12380278829568636,0.7958779442567744,0.004644000029657036,0.44102159998146817,613.1708984375
70/30,45,GNB,0.0,0.9068053351494374,0.0,0.005231500021182001,0.002058400015812367,913.8125
70/30,45,GNB,0.1,0.7403017330706161,0.1665036020788213,0.00578710000263527,0.00209210003959015,913.65625
70/30,45,GNB,0.5,0.6056276949597257,0.3011776401897117,0.005243899999186397,0.0020656000124290586,913.6796875
70/30,45,GNB,1.0,0.34350248404807077,0.5633028511013667,0.005856500007212162,0.002099100034683943,913.7265625
70/30,46,OVR_GD,0.0,0.7822478451846815,0.0,1.524051700020209,0.0015401000273413956,1469.73046875
70/30,46,OVR_GD,0.1,0.7743673100751168,0.007880535109564657,1.5305505999713205,0.0013917000032961369,1469.73046875
70/30,46,OVR_GD,0.5,0.6827771332218067,0.09947071196287482,1.5354633000097238,0.0015505999908782542,1470.36328125
70/30,46,OVR_GD,1.0,0.5534777166487032,0.22877012853597833,1.5307755999965593,0.0015272999880835414,1469.75390625
70/30,46,OVO_GD,0.0,0.8976134138852244,0.0,2.3478411000105552,0.2817650999641046,1225.2978515625
70/30,46,OVO_GD,0.1,0.8859364605308595,0.011676953354364916,2.36342099995818,0.276030000008177,1225.2744140625
70/30,46,OVO_GD,0.5,0.7851985081910876,0.11241490569413681,2.3627720999647863,0.280835899990052,1225.2744140625
70/30,46,OVO_GD,1.0,0.6121189777332278,0.28549443615199666,2.39503670000704,0.2805455999914557,1225.2744140625
70/30,46,Softmax_GD,0.0,0.8832841896882215,0.0,0.6684943999862298,0.0006447000196203589,3657.71875
70/30,46,Softmax_GD,0.1,0.8747973096238434,0.008486880064378144,0.6630242000101134,0.000610099988989532,3657.6953125
70/30,46,Softmax_GD,0.5,0.75295342417458,0.13033076551364153,0.6679103000205941,0.0005963000003248453,3657.6953125
70/30,46,Softmax_GD,1.0,0.5817741371026578,0.30151005258556374,0.6627036000136286,0.0006046000053174794,3657.6953125
70/30,46,LDA,0.0,0.9183045241934413,0.0,0.00404040003195405,0.5850110000465065,602.6171875
